Timestamp;LevelAsset;IPCategory;Mitre;Alert
Jun-07 2022 @ 16:15:48.606;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 16:15:48.606;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 16:15:48.606;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 16:15:48.606;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 16:15:48.606;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 16:15:48.606;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 16:15:48.606;Medium;Unknown;none;Positive
Jun-07 2022 @ 16:15:48.606;Medium;Unknown;T1087;Positive
Jun-07 2022 @ 16:15:48.606;Medium;Unknown;T1087;Positive
Jun-07 2022 @ 16:15:48.606;Medium;Unknown;T1087;Positive
Jun-07 2022 @ 16:15:48.606;Medium;Unknown;T1087;Positive
Jun-07 2022 @ 16:15:48.606;Medium;Unknown;T1087;Positive
Jun-07 2022 @ 16:15:48.606;Medium;Unknown;T1087;Positive
Jun-07 2022 @ 16:15:48.606;Medium;Unknown;T1078;Positive
Jun-07 2022 @ 16:15:48.606;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 16:15:48.606;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 16:15:48.606;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 16:15:48.606;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 16:15:48.606;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 16:15:48.606;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 16:15:48.606;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 16:15:48.606;Medium;Internal;none;Negative
Jun-07 2022 @ 16:15:48.606;Medium;Internal;T1087;Negative
Jun-07 2022 @ 16:15:48.605;Medium;Internal;T1087;Negative
Jun-07 2022 @ 16:15:48.605;Medium;Internal;T1087;Negative
Jun-07 2022 @ 16:15:48.605;Medium;Internal;T1078;Negative
Jun-07 2022 @ 16:15:48.605;Medium;Internal;T1064;Negative
Jun-07 2022 @ 16:15:48.605;Medium;Internal;T1064;Negative
Jun-07 2022 @ 16:15:48.605;Medium;Internal;T1064;Negative
Jun-07 2022 @ 16:15:48.605;Medium;Internal;T1064;Negative
Jun-07 2022 @ 16:15:48.605;Medium;Internal;T1064;Negative
Jun-07 2022 @ 16:15:48.605;Medium;Internal;none;Negative
Jun-07 2022 @ 16:15:48.605;Medium;Internal;T1087;Negative
Jun-07 2022 @ 16:15:48.605;Medium;Internal;T1087;Negative
Jun-07 2022 @ 16:15:48.605;Medium;Internal;T1087;Negative
Jun-07 2022 @ 16:15:48.605;Medium;Internal;T1087;Negative
Jun-07 2022 @ 16:15:48.605;Medium;Internal;T1078;Negative
Jun-07 2022 @ 16:15:48.605;Medium;Internal;none;Negative
Jun-07 2022 @ 16:15:48.605;Medium;Internal;T1078;Negative
Jun-07 2022 @ 16:15:48.605;Medium;Internal;T1075;Negative
Jun-07 2022 @ 16:15:47.604;Medium;Internal;none;Negative
Jun-07 2022 @ 16:15:42.601;Medium;Internal;T1078;Negative
Jun-07 2022 @ 16:14:48.578;Medium;Internal;T1075;Negative
Jun-07 2022 @ 16:14:04.559;Medium;Internal;none;Negative
Jun-07 2022 @ 16:13:16.142;Medium;Internal;T1078;Negative
Jun-07 2022 @ 16:10:59.063;Medium;Internal;T1075;Negative
Jun-07 2022 @ 16:09:48.003;Medium;Internal;none;Negative
Jun-07 2022 @ 16:09:48.002;Medium;Internal;T1087;Negative
Jun-07 2022 @ 16:09:39.999;Medium;Internal;none;Negative
Jun-07 2022 @ 16:09:21.992;Medium;Internal;T1087;Negative
Jun-07 2022 @ 16:09:21.992;Medium;Internal;T1087;Negative
Jun-07 2022 @ 16:08:44.972;Medium;Internal;T1087;Negative
Jun-07 2022 @ 16:08:43.972;Medium;Internal;T1078;Negative
Jun-07 2022 @ 16:08:12.957;Medium;Internal;none;Negative
Jun-07 2022 @ 16:08:12.957;Medium;Internal;T1087;Negative
Jun-07 2022 @ 16:06:35.780;Medium;Internal;T1078;Negative
Jun-07 2022 @ 16:05:19.736;Medium;Internal;none;Negative
Jun-07 2022 @ 16:05:19.736;Medium;Internal;T1087;Negative
Jun-07 2022 @ 16:04:53.725;Medium;Internal;T1087;Negative
Jun-07 2022 @ 16:04:53.725;Medium;Internal;T1078;Negative
Jun-07 2022 @ 16:04:29.712;Medium;Internal;none;Negative
Jun-07 2022 @ 16:04:29.712;Medium;Internal;T1078;Negative
Jun-07 2022 @ 16:04:00.698;Medium;Internal;T1110;Negative
Jun-07 2022 @ 16:04:00.698;Medium;Internal;T1110;Negative
Jun-07 2022 @ 16:03:28.675;Medium;Internal;T1110;Negative
Jun-07 2022 @ 16:03:28.675;Medium;External;T1064;Positive
Jun-07 2022 @ 16:03:02.657;Medium;External;T1064;Positive
Jun-07 2022 @ 16:03:02.657;Medium;External;T1064;Positive
Jun-07 2022 @ 16:02:58.655;Medium;External;T1064;Positive
Jun-07 2022 @ 16:02:53.652;Medium;External;T1110;Positive
Jun-07 2022 @ 16:02:53.652;Medium;External;T1110;Positive
Jun-07 2022 @ 16:02:53.652;Medium;External;T1110;Positive
Jun-07 2022 @ 16:01:51.617;Medium;External;T1110;Positive
Jun-07 2022 @ 16:01:51.617;Medium;External;T1078;Negative
Jun-07 2022 @ 16:01:51.617;Medium;External;T1087;Negative
Jun-07 2022 @ 16:01:50.617;Medium;External;T1087;Negative
Jun-07 2022 @ 16:01:50.617;Medium;External;T1087;Negative
Jun-07 2022 @ 16:01:50.617;Medium;External;T1087;Negative
Jun-07 2022 @ 16:01:48.616;Medium;External;T1078;Negative
Jun-07 2022 @ 16:01:15.598;Medium;External;T1078;Positive
Jun-07 2022 @ 16:01:12.597;Medium;External;T1087;Positive
Jun-07 2022 @ 16:00:50.581;Medium;External;T1087;Positive
Jun-07 2022 @ 16:00:37.572;Medium;External;T1078;Positive
Jun-07 2022 @ 15:59:54.545;Medium;External;T1078;Positive
Jun-07 2022 @ 15:59:53.544;Medium;External;T1075;Positive
Jun-07 2022 @ 15:59:07.512;Medium;External;T1078;Positive
Jun-07 2022 @ 15:59:04.510;Medium;External;T1075;Positive
Jun-07 2022 @ 15:58:27.487;Medium;External;T1064;Positive
Jun-07 2022 @ 15:57:40.445;Medium;Internal;none;Positive
Jun-07 2022 @ 15:57:39.443;Medium;Internal;T1087;Positive
Jun-07 2022 @ 15:56:50.300;Medium;Internal;T1087;Positive
Jun-07 2022 @ 15:55:55.271;Medium;Internal;T1078;Positive
Jun-07 2022 @ 15:55:46.268;Medium;Internal;T1110;Positive
Jun-07 2022 @ 15:55:46.268;Medium;Internal;T1110;Positive
Jun-07 2022 @ 15:55:46.268;Medium;Internal;T1064;Positive
Jun-07 2022 @ 15:54:25.220;Medium;Internal;T1064;Positive
Jun-07 2022 @ 15:54:06.208;Medium;Internal;T1064;Positive
Jun-07 2022 @ 15:54:05.207;Medium;Internal;T1064;Positive
Jun-07 2022 @ 15:54:01.205;Medium;Internal;T1064;Positive
Jun-07 2022 @ 15:53:51.201;Medium;Unknown;none;Negative
Jun-07 2022 @ 15:53:39.193;Medium;Unknown;T1087;Negative
Jun-07 2022 @ 15:53:31.188;Medium;Unknown;T1078;Negative
Jun-07 2022 @ 15:53:31.188;Medium;Unknown;T1110;Negative
Jun-07 2022 @ 15:53:31.188;Medium;Unknown;T1075;Positive
Jun-07 2022 @ 15:53:19.181;Medium;Unknown;T1064;Negative
Jun-07 2022 @ 15:52:57.166;Medium;Unknown;none;Positive
Jun-07 2022 @ 15:52:57.166;Medium;Unknown;T1087;Positive
Jun-07 2022 @ 15:52:57.166;Medium;Unknown;T1078;Positive
Jun-07 2022 @ 15:52:57.166;Medium;Unknown;T1110;Positive
Jun-07 2022 @ 15:52:53.163;Medium;Unknown;T1110;Positive
Jun-07 2022 @ 15:52:47.160;Medium;Unknown;T1110;Positive
Jun-07 2022 @ 15:52:46.159;Medium;Unknown;none;Positive
Jun-07 2022 @ 15:52:27.150;Medium;Unknown;T1087;Positive
Jun-07 2022 @ 15:52:19.146;Medium;Unknown;T1087;Positive
Jun-07 2022 @ 15:52:16.144;Medium;Unknown;T1087;Positive
Jun-07 2022 @ 15:51:47.111;Medium;Unknown;T1087;Positive
Jun-07 2022 @ 15:51:37.106;Medium;Unknown;T1078;Positive
Jun-07 2022 @ 15:51:21.098;Medium;Unknown;T1075;Positive
Jun-07 2022 @ 15:51:06.091;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 15:50:45.074;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 15:50:34.069;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 15:50:16.060;Medium;Unknown;none;Positive
Jun-07 2022 @ 15:49:33.031;Medium;Unknown;T1087;Positive
Jun-07 2022 @ 15:49:03.014;Medium;Unknown;T1087;Positive
Jun-07 2022 @ 15:48:02.986;Medium;Unknown;T1087;Positive
Jun-07 2022 @ 15:47:13.752;Medium;Unknown;T1087;Positive
Jun-07 2022 @ 15:46:46.733;Medium;Unknown;T1078;Positive
Jun-07 2022 @ 15:46:27.725;Medium;Unknown;T1075;Positive
Jun-07 2022 @ 15:46:25.720;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 15:46:21.718;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 15:46:03.707;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 15:45:36.692;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 15:45:15.673;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 15:45:03.668;Medium;Unknown;T1064;Positive
Jun-07 2022 @ 15:44:30.653;Medium;Internal;none;Negative
Jun-07 2022 @ 15:43:53.636;Medium;Internal;T1087;Negative
Jun-07 2022 @ 15:43:42.632;Medium;Internal;T1087;Negative
Jun-07 2022 @ 15:43:26.614;Medium;Internal;T1078;Negative
Jun-07 2022 @ 15:41:49.562;Medium;Internal;none;Negative
Jun-07 2022 @ 15:41:13.540;Medium;Internal;T1087;Negative
Jun-07 2022 @ 15:40:56.525;Medium;Internal;T1087;Negative
Jun-07 2022 @ 15:40:45.520;Medium;Internal;T1087;Negative
Jun-07 2022 @ 15:39:55.479;Medium;Internal;T1078;Negative
